index,ree,qu,wfpan
2,0.424838577974,0.43265200507,0.395383819189
3,0.434675189469,0.39775262505,0.368524475316
4,0.445043862562,0.389670919422,0.363595743706
5,0.434576601379,0.390629845647,0.361419361256
6,0.433795291418,0.39723366433,0.36705306477
7,0.435582037712,0.404415360175,0.372901191931
8,0.434381121394,0.389673973432,0.356281470552
9,0.436971437034,0.397154289222,0.361986282415
10,0.434526829242,0.394602524197,0.358508234308
11,0.439861393975,0.398583987464,0.361859831603
12,0.437085294481,0.397125193052,0.360287215772
13,0.437209998836,0.396003597811,0.358306772361
14,0.436800184747,0.398006321998,0.360158545942
15,0.437190834518,0.399659824198,0.363642690245
16,0.4371027162,0.400509651093,0.362696544823
17,0.434851887027,0.398823039227,0.363290074129
18,0.43692236117,0.399197397763,0.362032974938
19,0.436350567289,0.396218306519,0.359791638832
20,0.43437462052,0.394533765289,0.357528556456
21,0.436790670434,0.396827568429,0.360648834441
22,0.43388111014,0.392635948155,0.357039569479
23,0.435076343265,0.393938006958,0.357128275504
24,0.435670873226,0.395866552722,0.360236288308
25,0.437921452389,0.398122346126,0.361434438566
26,0.437160522518,0.397168348191,0.360810317398
27,0.436636216945,0.397212252806,0.360636214114
28,0.436419835449,0.396813358733,0.360078022643
29,0.43246023703,0.393767835954,0.357014611304
30,0.43565357627,0.395855890361,0.358807484141
31,0.43564602807,0.397257037071,0.359944872713
32,0.435197109042,0.398652851768,0.36165039298
33,0.435975386742,0.39684948167,0.360412013633
34,0.437224356941,0.39621486372,0.36004281479
35,0.436771759879,0.396366846972,0.359768102181
36,0.437053151675,0.397500770822,0.360859929893
37,0.437302014125,0.398976967913,0.362222849479
38,0.436604038906,0.396411168018,0.359813880669
39,0.436787695045,0.397720967876,0.361013608977
40,0.436528301124,0.397178776014,0.360431566837
41,0.438626115968,0.39879893296,0.362113301387
42,0.438363182024,0.39841849716,0.361678075528
43,0.438738826885,0.397808909978,0.360621830847
44,0.439099671777,0.398268529,0.360872246255
45,0.438906473649,0.398504057623,0.361659053055
46,0.439327275141,0.399052255912,0.361864127591
47,0.438457772798,0.398665642976,0.362476034132
