index,ree,qu,wfpan
10,0.56341239952,0.58375735982,0.60755302142
20,0.558182669046,0.571273676048,0.593771544082
30,0.541219693041,0.560870661711,0.588996325399
40,0.55753763891,0.575786452449,0.602022111622
50,0.558364079199,0.575163226414,0.596359932029
60,0.545692387681,0.569651186205,0.595959920553
70,0.555355148371,0.574097891571,0.601516088453
80,0.561806356672,0.576087337655,0.597822677393
90,0.549636921923,0.578205586855,0.605424578144
100,0.560271254708,0.583059996119,0.605233764502
110,0.561464514215,0.578337576071,0.598923092844
120,0.539352156142,0.563958793042,0.588803394778
130,0.565192360459,0.587666413358,0.612102891953
140,0.559918824537,0.575920329202,0.596824630493
150,0.552176704706,0.573033280669,0.601987650579
160,0.558221286143,0.578064637708,0.602676730579
170,0.561301491059,0.577189005981,0.60017105531
180,0.551379884391,0.576898840959,0.603087172953
190,0.563345068705,0.580791435711,0.604866622812
200,0.565093804079,0.57860962947,0.603232730854
210,0.549967082695,0.567861706031,0.594649238169
220,0.562237699175,0.578658004077,0.601717303254
230,0.558200501175,0.57737471403,0.602184399639
240,0.542922187936,0.566416335309,0.592677636102
250,0.556989950474,0.577594994196,0.601100102798
260,0.562985753697,0.579953431224,0.60086621585
270,0.548987076825,0.57759037517,0.599736208391
280,0.565278931662,0.58595569437,0.612570693241
290,0.558276072011,0.572400025883,0.596153219094
300,0.541674149544,0.568646217884,0.594139120503
