index,ree,qu,wfpan
10,0.372616553092,0.304543024995,0.278192603655
20,0.371245092432,0.304099192474,0.274063509973
30,0.3749730583,0.304446377799,0.274883713804
40,0.381898111696,0.312629280229,0.28562634765
50,0.377211667846,0.304086065409,0.278007706005
60,0.375738402752,0.305104343734,0.281034968771
70,0.378785284571,0.313494840956,0.288288745799
80,0.368772526456,0.300266276203,0.273254154325
90,0.386643029561,0.309482625754,0.286748852125
100,0.379038461105,0.313125656031,0.285757217266
110,0.379271465218,0.300999208304,0.275080059293
120,0.38118221023,0.316491271169,0.288758206719
130,0.385784627426,0.319851421454,0.292394106131
140,0.370039921737,0.299781086044,0.269412391185
150,0.385145943642,0.319578997974,0.296019908199
160,0.380482732759,0.312630283488,0.286095317732
170,0.37232049229,0.3031994706,0.277114398163
180,0.373482559167,0.307993268732,0.28384959264
190,0.371973691987,0.308198316184,0.280778023045
200,0.364295274003,0.297357855539,0.269179168866
210,0.369393296744,0.304807526507,0.27962121979
220,0.377821872724,0.307454414829,0.280676270155
230,0.381219551179,0.305954082134,0.278222349839
240,0.382671750127,0.312707666599,0.287289789329
250,0.377305075602,0.311187716054,0.28519494332
260,0.369266172596,0.299743370139,0.274697465197
270,0.374618122098,0.309021322133,0.282512613466
280,0.386282369655,0.315650866581,0.289535456238
290,0.37535934989,0.30285356104,0.276152652082
300,0.385081550999,0.311368236351,0.287693438391
